"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"Vodafone","Outdoor","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Travelling","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Outdoor","2G","5","Satisfactory","-1","-1","NA"
"Vodafone","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Travelling","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Travelling","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Travelling","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Travelling","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","Unknown","3","Satisfactory","-1","-1","NA"
"BSNL","Indoor","2G","4","Satisfactory","18.9880787","73.1277687","Maharashtra"
"RJio","Travelling","4G","5","Satisfactory","-1","-1","NA"
"Vodafone","Indoor","3G","5","Satisfactory","17.04510426","79.29141502","Telangana"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","5","Satisfactory","-1","-1","NA"
"Vodafone","Indoor","4G","5","Satisfactory","23.16294132","77.44411122","Madhya Pradesh"
"Airtel","Travelling","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","26.72728668","80.89884911","Uttar Pradesh"
"Idea","Indoor","4G","2","Call Dropped","-1","-1","NA"
"Idea","Indoor","4G","2","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","31.61168984","76.92031319","Himachal Pradesh"
"Idea","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"BSNL","Indoor","4G","3","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Travelling","4G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","3","Satisfactory","-1","-1","NA"
"Vodafone","Outdoor","3G","5","Satisfactory","-1","-1","NA"
"Vodafone","Indoor","4G","5","Satisfactory","23.16294132","77.44411122","Madhya Pradesh"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","18.97112456","72.83792021","Maharashtra"
"RJio","Indoor","Unknown","5","Satisfactory","19.0705374","72.8719541","Maharashtra"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","Unknown","2","Call Dropped","-1","-1","NA"
