"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"Airtel","Outdoor","Unknown","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6116252","76.9212932","Himachal Pradesh"
"RJio","Indoor","4G","1","Call Dropped","31.6121102","76.9215945","Himachal Pradesh"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Indoor","Unknown","5","Satisfactory","23.56977333","87.17785333","West Bengal"
"VI","Indoor","4G","5","Satisfactory","23.56977333","87.17785333","West Bengal"
"VI","Indoor","4G","1","Call Dropped","21.11251099","79.06897927","Maharashtra"
"RJio","Indoor","4G","1","Call Dropped","31.6116711","76.9203325","Himachal Pradesh"
"BSNL","Indoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6116711","76.9203325","Himachal Pradesh"
"BSNL","Indoor","4G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","3","Poor Voice Quality","-1","-1","NA"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6116663","76.9203343","Himachal Pradesh"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA"
"VI","Indoor","3G","2","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","3","Poor Voice Quality","-1","-1","NA"
"RJio","Travelling","4G","3","Satisfactory","16.5467989","81.5557827","Andhra Pradesh"
"VI","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"RJio","Indoor","4G","1","Call Dropped","31.6117657","76.9212713","Himachal Pradesh"
"Airtel","Indoor","Unknown","4","Satisfactory","16.88404407","79.69180432","Telangana"
"RJio","Travelling","4G","3","Satisfactory","16.5467989","81.5557827","Andhra Pradesh"
"BSNL","Indoor","Unknown","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","Unknown","4","Satisfactory","-1","-1","NA"
"BSNL","Indoor","Unknown","5","Satisfactory","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","22.80822748","86.18858414","Jharkhand"
"VI","Indoor","4G","3","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","3","Satisfactory","18.501675","73.75847333","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"BSNL","Outdoor","Unknown","5","Satisfactory","23.57828667","87.1817","West Bengal"
"Airtel","Indoor","2G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6121534","76.9216315","Himachal Pradesh"
"VI","Indoor","Unknown","5","Satisfactory","19.9798939","73.79790157","Maharashtra"
"Airtel","Indoor","2G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","3","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","20.71848766","77.00997837","Maharashtra"
"RJio","Indoor","4G","1","Call Dropped","31.6117657","76.9212713","Himachal Pradesh"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Travelling","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"RJio","Travelling","4G","3","Satisfactory","16.5441716","81.5287415","Andhra Pradesh"
"Airtel","Travelling","4G","3","Satisfactory","16.5481337","81.555724","Andhra Pradesh"
"Airtel","Travelling","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6121907","76.9219917","Himachal Pradesh"
"Airtel","Travelling","4G","3","Satisfactory","16.5467986","81.5557823","Andhra Pradesh"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","20.71848766","77.00997837","Maharashtra"
"VI","Travelling","4G","4","Satisfactory","21.19644214","72.84360391","Gujarat"
"RJio","Travelling","4G","4","Satisfactory","26.8899831","75.80862782","Rajasthan"
"VI","Indoor","Unknown","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","18.30656226","83.56561678","Andhra Pradesh"
"Airtel","Indoor","4G","1","Poor Voice Quality","18.30656226","83.56561678","Andhra Pradesh"
"Airtel","Indoor","2G","1","Call Dropped","-1","-1","NA"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6117657","76.9212713","Himachal Pradesh"
"RJio","Indoor","4G","3","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","Unknown","1","Call Dropped","-1","-1","NA"
"VI","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","4G","4","Satisfactory","29.61521172","78.34109106","Uttar Pradesh"
"BSNL","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"BSNL","Travelling","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Travelling","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","3G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","2G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","2G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","2G","5","Satisfactory","-1","-1","NA"
"BSNL","Outdoor","3G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.61166593","76.92033368","Himachal Pradesh"
"RJio","Indoor","4G","1","Call Dropped","31.6115908","76.92027904","Himachal Pradesh"
"BSNL","Indoor","Unknown","5","Satisfactory","23.58225833","87.19169833","West Bengal"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"RJio","Indoor","Unknown","4","Satisfactory","23.27271441","77.38275648","Madhya Pradesh"
"BSNL","Travelling","Unknown","1","Call Dropped","-1","-1","NA"
"RJio","Travelling","4G","3","Satisfactory","16.5467981","81.5557837","Andhra Pradesh"
"RJio","Travelling","4G","1","Call Dropped","22.6446448","88.3660178","West Bengal"
"VI","Indoor","4G","5","Satisfactory","23.0289382","72.4528123","Gujarat"
"RJio","Travelling","4G","3","Satisfactory","16.5467991","81.555783","Andhra Pradesh"
"BSNL","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","21.11274638","79.06915671","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","21.11274638","79.06915671","Maharashtra"
