"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Indoor","4G","4","Satisfactory","10.30316178","76.22305127","Kerala"
"RJio","Travelling","4G","5","Satisfactory","26.72737371","80.89861894","Uttar Pradesh"
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Idea","Outdoor","4G","2","Poor Voice Quality","12.930553","77.6175641","Karnataka"
"MTNL","Indoor","3G","3","Poor Voice Quality","19.155222","72.9352752","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Travelling","4G","5","Satisfactory","26.72805093","80.89926244","Uttar Pradesh"
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","3G","5","Satisfactory","-1","-1","NA"
"Idea","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","4","Satisfactory","27.7260616","76.210197","Rajasthan"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Outdoor","4G","4","Satisfactory","18.45492471","73.91429747","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","18.32241095","74.72684687","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.32241095","74.72684687","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","18.51918174","73.8567454","Maharashtra"
"RJio","Outdoor","Unknown","4","Satisfactory","18.51918174","73.8567454","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.4493158","73.8341184","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.5107832","73.8537485","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.5107832","73.8537485","Maharashtra"
"RJio","Outdoor","4G","1","Poor Voice Quality","18.519773","73.8562067","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.5196989","73.856183","Maharashtra"
"RJio","Outdoor","4G","4","Satisfactory","18.51974302","73.85620853","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","26.89508483","75.80827595","Rajasthan"
"Idea","Indoor","4G","5","Satisfactory","9.6418682","76.57804609","Kerala"
"RJio","Travelling","4G","5","Satisfactory","26.72699979","80.89868934","Uttar Pradesh"
"Airtel","Travelling","Unknown","3","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","Unknown","4","Satisfactory","16.88933709","79.69113705","Telangana"
"Idea","Indoor","4G","5","Satisfactory","9.6418682","76.57804609","Kerala"
"RJio","Indoor","4G","4","Satisfactory","18.51974302","73.85620853","Maharashtra"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"Airtel","Indoor","2G","4","Satisfactory","24.08875833","88.25563167","West Bengal"
"Airtel","Indoor","2G","4","Satisfactory","24.08875833","88.25563167","West Bengal"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","Unknown","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","Unknown","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","24.08875833","88.25563167","West Bengal"
"Idea","Indoor","4G","5","Satisfactory","9.64215338","76.57819307","Kerala"
"RJio","Travelling","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
