Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Idea,Indoor,Unknown,5,Satisfactory,10.03567293,76.29775973,Kerala
Idea,Indoor,Unknown,5,Satisfactory,10.03567293,76.29775973,Kerala
Idea,Outdoor,4G,5,Satisfactory,21.12244863,79.08109023,Maharashtra
Idea,Outdoor,4G,5,Satisfactory,21.12244863,79.08109023,Maharashtra
Idea,Indoor,4G,5,Satisfactory,21.12258553,79.08104191,Maharashtra
Idea,Indoor,Unknown,5,Satisfactory,10.03542739,76.29782507,Kerala
Airtel,Outdoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
Idea,Indoor,3G,5,Satisfactory,26.19939009,78.18745461,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,26.19933964,78.18709522,Madhya Pradesh
Idea,Indoor,3G,5,Satisfactory,26.2002119,78.1873816,Madhya Pradesh
Idea,Indoor,4G,5,Satisfactory,26.2055454,78.1895439,Madhya Pradesh
Idea,Indoor,3G,5,Satisfactory,26.2055454,78.1895439,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,26.2055454,78.1895439,Madhya Pradesh
Idea,Indoor,4G,5,Satisfactory,26.2055454,78.1895439,Madhya Pradesh
Idea,Indoor,3G,5,Satisfactory,26.2055454,78.1895439,Madhya Pradesh
Idea,Indoor,4G,5,Satisfactory,26.20043993,78.16838443,Madhya Pradesh
Idea,Indoor,Unknown,5,Satisfactory,26.20510402,78.18903498,Madhya Pradesh
Idea,Indoor,3G,5,Satisfactory,26.2336128,78.17531544,Madhya Pradesh
Idea,Indoor,4G,5,Satisfactory,21.12263167,79.08105847,Maharashtra
Idea,Indoor,4G,5,Satisfactory,21.12263167,79.08105847,Maharashtra
Idea,Indoor,4G,5,Satisfactory,10.03542739,76.29782507,Kerala
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,10.0356739,76.29788803,Kerala
RJio,Indoor,4G,4,Satisfactory,24.14131489,74.05137278,Rajasthan
Idea,Outdoor,4G,5,Satisfactory,21.12277792,79.08094306,Maharashtra
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,5,Satisfactory,-1,-1,NA
Vodafone,Travelling,Unknown,4,Satisfactory,13.00738393,80.25920567,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Idea,Outdoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,3,Satisfactory,-1,-1,NA
Idea,Indoor,3G,2,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,19.46094199,72.81717751,Maharashtra
RJio,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,10.03551314,76.29789653,Kerala
Idea,Travelling,3G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,3,Satisfactory,-1,-1,NA
BSNL,Outdoor,3G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Idea,Outdoor,3G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,19.4607119,72.8173607,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,8.49724481,76.94651653,Kerala
BSNL,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,12.9408608,77.5410322,Karnataka
Idea,Indoor,Unknown,5,Satisfactory,10.03556528,76.29783629,Kerala
Vodafone,Outdoor,Unknown,5,Satisfactory,19.07090504,72.9970944,Maharashtra
Airtel,Outdoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,10.03577565,76.29800766,Kerala
BSNL,Indoor,Unknown,2,Poor Voice Quality,28.3597097,79.4123423,Uttar Pradesh
Idea,Indoor,3G,5,Satisfactory,-1,-1,NA
Idea,Travelling,3G,5,Satisfactory,21.8238042,83.4286992,Chhattisgarh
RJio,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,1,Call Dropped,13.1010702,77.575963,Karnataka
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,21.18591776,72.87089046,Gujarat
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
Idea,Travelling,Unknown,5,Satisfactory,-1,-1,NA
